Mission,Activity,Antenna,Start,End,Setup,Teardown
MIS-012,MIS-012_ACT_05,DSS-48,0.07,6.2700000000000005,1.0,0.25
MIS-079,MIS-079_ACT_04,DSS-17,0.36,6.96,1.0,0.25
MIS-017,MIS-017_ACT_08,DSS-23,0.4,9.200000000000001,1.0,0.25
MIS-029,MIS-029_ACT_04,DSS-30,0.46,8.16,1.0,0.25
MIS-055,MIS-055_ACT_04,DSS-40,0.52,6.52,1.0,0.25
MIS-087,MIS-087_ACT_09,DSS-43,0.87,8.37,1.0,0.25
MIS-027,MIS-027_ACT_05,DSS-14,1.34,9.24,1.0,0.25
MIS-019,MIS-019_ACT_01,DSS-15,1.63,7.83,1.0,0.25
MIS-046,MIS-046_ACT_04,DSS-39,1.82,9.52,1.0,0.25
JNO,JNO_ACT_08,DSS-49,1.97,9.07,1.0,0.25
MIS-043,MIS-043_ACT_02,DSS-24,2.01,9.21,1.0,0.25
MIS-062,MIS-062_ACT_05,DSS-45,2.32,8.12,1.0,0.25
MIS-049,MIS-049_ACT_04,DSS-18,3.0,10.0,1.0,0.25
MIS-071,MIS-071_ACT_07,DSS-25,3.76,9.36,1.0,0.25
MIS-086,MIS-086_ACT_05,DSS-34,3.87,10.370000000000001,1.0,0.25
MIS-044,MIS-044_ACT_01,DSS-26,4.33,12.83,1.0,0.25
MIS-024,MIS-024_ACT_04,DSS-37,5.19,11.89,1.0,0.25
MIS-015,MIS-015_ACT_13,DSS-28,5.84,12.74,1.0,0.25
MIS-011,MIS-011_ACT_02,DSS-46,6.76,15.16,1.0,0.25
MIS-055,MIS-055_ACT_10,DSS-20,7.88,13.879999999999999,1.0,0.25
MIS-093,MIS-093_ACT_07,DSS-11,9.25,15.35,1.0,0.25
MIS-029,MIS-029_ACT_12,DSS-31,9.73,17.43,1.0,0.25
MIS-063,MIS-063_ACT_02,DSS-42,10.88,16.880000000000003,1.0,0.25
MIS-027,MIS-027_ACT_01,DSS-34,12.13,20.03,1.0,0.25
JNO,JNO_ACT_04,DSS-30,12.66,19.759999999999998,1.0,0.25
MIS-019,MIS-019_ACT_00,DSS-32,14.57,20.77,1.0,0.25
MIS-026,MIS-026_ACT_02,DSS-45,16.08,22.68,1.0,0.25
MIS-044,MIS-044_ACT_00,DSS-25,16.31,24.81,1.0,0.25
MIS-011,MIS-011_ACT_07,DSS-37,16.99,25.39,1.0,0.25
MIS-071,MIS-071_ACT_01,DSS-19,18.33,23.93,1.0,0.25
MIS-016,MIS-016_ACT_00,DSS-38,20.53,27.93,1.0,0.25
