Mission,Activity,Antenna,AntennaType,Start,End,ViewEnd,Coverage,Setup,Teardown
天问三号,天问三号_ACT_09,DSS-19,1,1.29,8.39,10.64,7.1000000000000005,1.0,0.25
天问三号,天问三号_ACT_06,DSS-47,1,15.7,22.799999999999997,27.4,7.099999999999998,1.0,0.25
天问三号,天问三号_ACT_04,RELAY-2,0,32.98,40.08,40.79,7.100000000000001,1.0,0.25
天问三号,天问三号_ACT_15,DSS-37,1,81.14,88.24,90.56,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_07,DSS-45,1,52.62,59.72,65.0,7.100000000000001,1.0,0.25
天问三号,天问三号_ACT_01,DSS-34,1,153.12,160.22,165.27,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_11,DSS-32,1,61.04,68.14,72.08,7.100000000000001,1.0,0.25
天问三号,天问三号_ACT_00,DSS-40,1,94.42,101.52,106.25,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_02,DSS-11,1,104.14,111.24,114.11,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_12,DSS-32,1,118.33,125.42999999999999,129.04,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_08,DSS-23,1,130.8,137.9,142.65,7.099999999999994,1.0,0.25
天问三号,天问三号_ACT_14,DSS-31,1,142.57,149.67,150.96,7.099999999999994,1.0,0.25
嫦娥七号,嫦娥七号_ACT_11,DSS-44,1,24.98,32.980000000000004,38.67,8.000000000000004,1.0,0.25
嫦娥七号,嫦娥七号_ACT_17,DSS-12,1,45.74,53.74,54.63,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_14,DSS-10,1,157.27,165.27,170.36,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_10,DSS-16,1,101.39,109.39,114.74,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_01,DSS-46,1,146.17,154.17,159.47,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_08,DSS-33,1,57.83,65.83,70.62,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_13,DSS-46,1,116.98,124.98,128.31,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_03,DSS-21,1,83.94,91.94,97.82,8.0,1.0,0.25
嫦娥七号,嫦娥七号_ACT_06,DSS-17,1,167.51,175.51,179.81,8.0,1.0,0.25
MRO,MRO_ACT_11,DSS-25,1,0.86,8.86,9.58,7.999999999999999,1.0,0.25
MRO,MRO_ACT_06,DSS-42,1,29.15,37.15,39.21,8.0,1.0,0.25
MIS-005,MIS-005_ACT_04,DSS-30,1,35.11,41.51,42.13,6.399999999999999,1.0,0.25
MRO,MRO_ACT_01,DSS-41,1,39.43,47.43,53.35,8.0,1.0,0.25
MIS-005,MIS-005_ACT_02,DSS-27,1,45.23,51.629999999999995,56.73,6.399999999999999,1.0,0.25
MRO,MRO_ACT_04,DSS-40,1,52.0,60.0,63.77,8.0,1.0,0.25
MRO,MRO_ACT_07,DSS-26,1,109.52,117.52,123.28,8.0,1.0,0.25
MRO,MRO_ACT_10,RELAY-3,0,62.56,70.56,73.63,8.0,1.0,0.25
MRO,MRO_ACT_08,DSS-24,1,142.48,150.48,152.99,8.0,1.0,0.25
MRO,MRO_ACT_13,D41,1,72.88,80.88,81.13,8.0,1.0,0.25
MIS-005,MIS-005_ACT_06,RELAY-1,0,76.25,82.65,86.26,6.400000000000006,1.0,0.25
MRO,MRO_ACT_00,DSS-16,1,89.78,97.78,101.65,8.0,1.0,0.25
MIS-005,MIS-005_ACT_01,DSS-29,1,94.09,100.49000000000001,102.77,6.400000000000006,1.0,0.25
MIS-005,MIS-005_ACT_03,DSS-20,1,111.84,118.24000000000001,122.24,6.400000000000006,1.0,0.25
MRO,MRO_ACT_05,DSS-11,1,125.89,133.89,135.19,7.999999999999986,1.0,0.25
MIS-005,MIS-005_ACT_05,DSS-33,1,144.29,150.69,152.37,6.400000000000006,1.0,0.25
DSCO,DSCO_ACT_00,DSS-43,1,135.2,136.2,140.13,1.0,1.0,0.25
